count,post_month,share,source_scope
1,2024-02,0.0049,xhs_expansion_candidate_v1
2,2024-06,0.0097,xhs_expansion_candidate_v1
3,2024-10,0.0146,xhs_expansion_candidate_v1
2,2024-11,0.0097,xhs_expansion_candidate_v1
4,2024-12,0.0194,xhs_expansion_candidate_v1
6,2025-01,0.0291,xhs_expansion_candidate_v1
8,2025-02,0.0388,xhs_expansion_candidate_v1
20,2025-03,0.0971,xhs_expansion_candidate_v1
6,2025-04,0.0291,xhs_expansion_candidate_v1
13,2025-05,0.0631,xhs_expansion_candidate_v1
8,2025-06,0.0388,xhs_expansion_candidate_v1
14,2025-07,0.068,xhs_expansion_candidate_v1
8,2025-08,0.0388,xhs_expansion_candidate_v1
10,2025-09,0.0485,xhs_expansion_candidate_v1
4,2025-10,0.0194,xhs_expansion_candidate_v1
9,2025-11,0.0437,xhs_expansion_candidate_v1
15,2025-12,0.0728,xhs_expansion_candidate_v1
5,2026-01,0.0243,xhs_expansion_candidate_v1
3,2026-02,0.0146,xhs_expansion_candidate_v1
21,2026-03,0.1019,xhs_expansion_candidate_v1
44,2026-04,0.2136,xhs_expansion_candidate_v1
