count,formalization_scope,left,right,source_scope
173,supplemental_formalization_v1,,,xhs_expansion_candidate_v1
24,supplemental_formalization_v1,J4,K3,xhs_expansion_candidate_v1
19,supplemental_formalization_v1,J2,K3,xhs_expansion_candidate_v1
18,supplemental_formalization_v1,J1,K2,xhs_expansion_candidate_v1
18,supplemental_formalization_v1,J3,K3,xhs_expansion_candidate_v1
17,supplemental_formalization_v1,J1,K3,xhs_expansion_candidate_v1
16,supplemental_formalization_v1,J2,K2,xhs_expansion_candidate_v1
14,supplemental_formalization_v1,J3,K2,xhs_expansion_candidate_v1
14,supplemental_formalization_v1,J4,K2,xhs_expansion_candidate_v1
8,supplemental_formalization_v1,J1,K4,xhs_expansion_candidate_v1
8,supplemental_formalization_v1,J2,K4,xhs_expansion_candidate_v1
8,supplemental_formalization_v1,J3,K6,xhs_expansion_candidate_v1
8,supplemental_formalization_v1,J4,K4,xhs_expansion_candidate_v1
8,supplemental_formalization_v1,J4,K6,xhs_expansion_candidate_v1
7,supplemental_formalization_v1,J2,K6,xhs_expansion_candidate_v1
7,supplemental_formalization_v1,J3,K4,xhs_expansion_candidate_v1
6,supplemental_formalization_v1,J1,K6,xhs_expansion_candidate_v1
2,supplemental_formalization_v1,J2,K1,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,J3,K1,xhs_expansion_candidate_v1
