count,count_base,formalization_scope,left,right,source_scope
91,included_rows,supplemental_formalization_v1,F1,C10,xhs_expansion_candidate_v1
69,included_rows,supplemental_formalization_v1,F1,C2,xhs_expansion_candidate_v1
67,included_rows,supplemental_formalization_v1,F2,C10,xhs_expansion_candidate_v1
55,included_rows,supplemental_formalization_v1,F1,C1,xhs_expansion_candidate_v1
53,included_rows,supplemental_formalization_v1,F2,C2,xhs_expansion_candidate_v1
50,included_rows,supplemental_formalization_v1,F1,C3,xhs_expansion_candidate_v1
45,included_rows,supplemental_formalization_v1,F2,C3,xhs_expansion_candidate_v1
44,included_rows,supplemental_formalization_v1,F1,C8,xhs_expansion_candidate_v1
44,included_rows,supplemental_formalization_v1,F2,C1,xhs_expansion_candidate_v1
36,included_rows,supplemental_formalization_v1,F1,C7,xhs_expansion_candidate_v1
35,included_rows,supplemental_formalization_v1,F1,C5,xhs_expansion_candidate_v1
33,included_rows,supplemental_formalization_v1,F3,C10,xhs_expansion_candidate_v1
31,included_rows,supplemental_formalization_v1,F2,C5,xhs_expansion_candidate_v1
31,included_rows,supplemental_formalization_v1,F2,C8,xhs_expansion_candidate_v1
30,included_rows,supplemental_formalization_v1,F5,C10,xhs_expansion_candidate_v1
29,included_rows,supplemental_formalization_v1,F3,C2,xhs_expansion_candidate_v1
28,included_rows,supplemental_formalization_v1,F2,C7,xhs_expansion_candidate_v1
27,included_rows,supplemental_formalization_v1,F3,C1,xhs_expansion_candidate_v1
26,included_rows,supplemental_formalization_v1,F5,C1,xhs_expansion_candidate_v1
24,included_rows,supplemental_formalization_v1,F5,C8,xhs_expansion_candidate_v1
23,included_rows,supplemental_formalization_v1,F1,C6,xhs_expansion_candidate_v1
22,included_rows,supplemental_formalization_v1,F3,C8,xhs_expansion_candidate_v1
22,included_rows,supplemental_formalization_v1,F6,C5,xhs_expansion_candidate_v1
22,included_rows,supplemental_formalization_v1,F6,C6,xhs_expansion_candidate_v1
21,included_rows,supplemental_formalization_v1,F2,C6,xhs_expansion_candidate_v1
21,included_rows,supplemental_formalization_v1,F5,C2,xhs_expansion_candidate_v1
21,included_rows,supplemental_formalization_v1,F5,C7,xhs_expansion_candidate_v1
