count,count_base,formalization_scope,left,right,source_scope
64,included_rows,supplemental_formalization_v1,G2,B0,xhs_expansion_candidate_v1
37,included_rows,supplemental_formalization_v1,G1,B0,xhs_expansion_candidate_v1
22,included_rows,supplemental_formalization_v1,G3,B0,xhs_expansion_candidate_v1
15,included_rows,supplemental_formalization_v1,G2,B2,xhs_expansion_candidate_v1
14,included_rows,supplemental_formalization_v1,G2,B1,xhs_expansion_candidate_v1
14,included_rows,supplemental_formalization_v1,G3,B1,xhs_expansion_candidate_v1
13,included_rows,supplemental_formalization_v1,G3,B2,xhs_expansion_candidate_v1
6,included_rows,supplemental_formalization_v1,G1,B2,xhs_expansion_candidate_v1
4,included_rows,supplemental_formalization_v1,G1,B1,xhs_expansion_candidate_v1
4,included_rows,supplemental_formalization_v1,G2,B3,xhs_expansion_candidate_v1
4,included_rows,supplemental_formalization_v1,G3,B3,xhs_expansion_candidate_v1
3,included_rows,supplemental_formalization_v1,G1,B3,xhs_expansion_candidate_v1
