code,count,count_base,formalization_scope,share,source_scope
C10,110,included_rows,supplemental_formalization_v1,0.55,xhs_expansion_candidate_v1
C2,86,included_rows,supplemental_formalization_v1,0.43,xhs_expansion_candidate_v1
C1,69,included_rows,supplemental_formalization_v1,0.345,xhs_expansion_candidate_v1
C3,65,included_rows,supplemental_formalization_v1,0.325,xhs_expansion_candidate_v1
C8,55,included_rows,supplemental_formalization_v1,0.275,xhs_expansion_candidate_v1
C5,50,included_rows,supplemental_formalization_v1,0.25,xhs_expansion_candidate_v1
C7,44,included_rows,supplemental_formalization_v1,0.22,xhs_expansion_candidate_v1
C6,37,included_rows,supplemental_formalization_v1,0.185,xhs_expansion_candidate_v1
C14,26,included_rows,supplemental_formalization_v1,0.13,xhs_expansion_candidate_v1
C4,12,included_rows,supplemental_formalization_v1,0.06,xhs_expansion_candidate_v1
C11,8,included_rows,supplemental_formalization_v1,0.04,xhs_expansion_candidate_v1
C12,6,included_rows,supplemental_formalization_v1,0.03,xhs_expansion_candidate_v1
C13,3,included_rows,supplemental_formalization_v1,0.015,xhs_expansion_candidate_v1
C9,2,included_rows,supplemental_formalization_v1,0.01,xhs_expansion_candidate_v1
,21,included_rows,supplemental_formalization_v1,0.105,xhs_expansion_candidate_v1
