count,count_base,formalization_scope,left,right,source_scope
97,included_rows,supplemental_formalization_v1,文献处理与知识整合,F1,xhs_expansion_candidate_v1
59,included_rows,supplemental_formalization_v1,文献处理与知识整合,F2,xhs_expansion_candidate_v1
31,included_rows,supplemental_formalization_v1,数据分析与代码,F3,xhs_expansion_candidate_v1
22,included_rows,supplemental_formalization_v1,文献处理与知识整合,F5,xhs_expansion_candidate_v1
21,included_rows,supplemental_formalization_v1,文献处理与知识整合,F3,xhs_expansion_candidate_v1
19,included_rows,supplemental_formalization_v1,待人工判定,F1,xhs_expansion_candidate_v1
15,included_rows,supplemental_formalization_v1,数据分析与代码,F1,xhs_expansion_candidate_v1
15,included_rows,supplemental_formalization_v1,数据分析与代码,F2,xhs_expansion_candidate_v1
13,included_rows,supplemental_formalization_v1,数据分析与代码,F5,xhs_expansion_candidate_v1
12,included_rows,supplemental_formalization_v1,研究设计与方法学习,F2,xhs_expansion_candidate_v1
12,included_rows,supplemental_formalization_v1,论文写作与成果表达,F2,xhs_expansion_candidate_v1
11,included_rows,supplemental_formalization_v1,研究设计与方法学习,F1,xhs_expansion_candidate_v1
9,included_rows,supplemental_formalization_v1,文献处理与知识整合,F6,xhs_expansion_candidate_v1
8,included_rows,supplemental_formalization_v1,待人工判定,F2,xhs_expansion_candidate_v1
7,included_rows,supplemental_formalization_v1,待人工判定,F5,xhs_expansion_candidate_v1
7,included_rows,supplemental_formalization_v1,文献处理与知识整合,F4,xhs_expansion_candidate_v1
7,included_rows,supplemental_formalization_v1,论文写作与成果表达,F6,xhs_expansion_candidate_v1
6,included_rows,supplemental_formalization_v1,科研训练与效率,F1,xhs_expansion_candidate_v1
6,included_rows,supplemental_formalization_v1,论文写作与成果表达,F1,xhs_expansion_candidate_v1
5,included_rows,supplemental_formalization_v1,待人工判定,F3,xhs_expansion_candidate_v1
5,included_rows,supplemental_formalization_v1,待人工判定,F4,xhs_expansion_candidate_v1
5,included_rows,supplemental_formalization_v1,研究设计与方法学习,F5,xhs_expansion_candidate_v1
4,included_rows,supplemental_formalization_v1,待人工判定,F6,xhs_expansion_candidate_v1
4,included_rows,supplemental_formalization_v1,科研训练与效率,F2,xhs_expansion_candidate_v1
3,included_rows,supplemental_formalization_v1,数据分析与代码,F6,xhs_expansion_candidate_v1
3,included_rows,supplemental_formalization_v1,科研规范与治理,F6,xhs_expansion_candidate_v1
3,included_rows,supplemental_formalization_v1,论文写作与成果表达,F5,xhs_expansion_candidate_v1
2,included_rows,supplemental_formalization_v1,研究设计与方法学习,F3,xhs_expansion_candidate_v1
2,included_rows,supplemental_formalization_v1,科研规范与治理,F1,xhs_expansion_candidate_v1
2,included_rows,supplemental_formalization_v1,科研训练与效率,F3,xhs_expansion_candidate_v1
2,included_rows,supplemental_formalization_v1,科研训练与效率,F5,xhs_expansion_candidate_v1
2,included_rows,supplemental_formalization_v1,论文写作与成果表达,F3,xhs_expansion_candidate_v1
1,included_rows,supplemental_formalization_v1,研究设计与方法学习,F4,xhs_expansion_candidate_v1
1,included_rows,supplemental_formalization_v1,科研训练与效率,F4,xhs_expansion_candidate_v1
