count,formalization_scope,left,right,source_scope
65,supplemental_formalization_v1,G2,B0,xhs_expansion_candidate_v1
37,supplemental_formalization_v1,G1,B0,xhs_expansion_candidate_v1
22,supplemental_formalization_v1,G3,B0,xhs_expansion_candidate_v1
15,supplemental_formalization_v1,G2,B1,xhs_expansion_candidate_v1
14,supplemental_formalization_v1,G2,B2,xhs_expansion_candidate_v1
13,supplemental_formalization_v1,G3,B1,xhs_expansion_candidate_v1
13,supplemental_formalization_v1,G3,B2,xhs_expansion_candidate_v1
6,supplemental_formalization_v1,G1,B2,xhs_expansion_candidate_v1
5,supplemental_formalization_v1,,B0,xhs_expansion_candidate_v1
4,supplemental_formalization_v1,G1,B1,xhs_expansion_candidate_v1
4,supplemental_formalization_v1,G2,B3,xhs_expansion_candidate_v1
4,supplemental_formalization_v1,G3,B3,xhs_expansion_candidate_v1
3,supplemental_formalization_v1,G1,B3,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,,B1,xhs_expansion_candidate_v1
