code,count,formalization_scope,share,source_scope
C10,112,supplemental_formalization_v1,0.5437,xhs_expansion_candidate_v1
C2,88,supplemental_formalization_v1,0.4272,xhs_expansion_candidate_v1
C1,70,supplemental_formalization_v1,0.3398,xhs_expansion_candidate_v1
C3,69,supplemental_formalization_v1,0.335,xhs_expansion_candidate_v1
C8,54,supplemental_formalization_v1,0.2621,xhs_expansion_candidate_v1
C5,50,supplemental_formalization_v1,0.2427,xhs_expansion_candidate_v1
C7,44,supplemental_formalization_v1,0.2136,xhs_expansion_candidate_v1
C6,37,supplemental_formalization_v1,0.1796,xhs_expansion_candidate_v1
C14,27,supplemental_formalization_v1,0.1311,xhs_expansion_candidate_v1
C4,11,supplemental_formalization_v1,0.0534,xhs_expansion_candidate_v1
C11,8,supplemental_formalization_v1,0.0388,xhs_expansion_candidate_v1
C12,6,supplemental_formalization_v1,0.0291,xhs_expansion_candidate_v1
C13,3,supplemental_formalization_v1,0.0146,xhs_expansion_candidate_v1
C9,2,supplemental_formalization_v1,0.0097,xhs_expansion_candidate_v1
,24,supplemental_formalization_v1,0.1165,xhs_expansion_candidate_v1
