count,post_month,share,source_scope
1,2024-02,0.0128,xhs_expansion_candidate_v1
1,2024-06,0.0128,xhs_expansion_candidate_v1
2,2024-10,0.0256,xhs_expansion_candidate_v1
1,2024-11,0.0128,xhs_expansion_candidate_v1
2,2024-12,0.0256,xhs_expansion_candidate_v1
2,2025-01,0.0256,xhs_expansion_candidate_v1
1,2025-02,0.0128,xhs_expansion_candidate_v1
7,2025-03,0.0897,xhs_expansion_candidate_v1
4,2025-04,0.0513,xhs_expansion_candidate_v1
7,2025-05,0.0897,xhs_expansion_candidate_v1
4,2025-07,0.0513,xhs_expansion_candidate_v1
1,2025-08,0.0128,xhs_expansion_candidate_v1
4,2025-09,0.0513,xhs_expansion_candidate_v1
3,2025-10,0.0385,xhs_expansion_candidate_v1
4,2025-11,0.0513,xhs_expansion_candidate_v1
8,2025-12,0.1026,xhs_expansion_candidate_v1
1,2026-01,0.0128,xhs_expansion_candidate_v1
2,2026-02,0.0256,xhs_expansion_candidate_v1
6,2026-03,0.0769,xhs_expansion_candidate_v1
17,2026-04,0.2179,xhs_expansion_candidate_v1
